Seed,Dataset,Sample Size,attr_to_inst,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Model,Model Parameters,Accuracy,Precision,Recall,F1 Score,MCC,XAI pair,XAI PCC,XAI SRCC
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,GaussianNB,"'priors': None, 'var_smoothing': 1e-12",1.0,1.0,1.0,1.0,1.0,PI - SHAP,0.3344865983355169,0.22136717600711217
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,GaussianNB,"'priors': None, 'var_smoothing': 1e-12",1.0,1.0,1.0,1.0,1.0,PI - LIME,-0.27447311670719465,-0.4562529581825977
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,GaussianNB,"'priors': None, 'var_smoothing': 1e-12",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.5546958055878365,-0.19117647058823528
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,BernoulliNB,"'alpha': 0.1, 'fit_prior': True",1.0,1.0,1.0,1.0,1.0,PI - SHAP,-0.028311727632927313,-0.07130240959073808
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,BernoulliNB,"'alpha': 0.1, 'fit_prior': True",1.0,1.0,1.0,1.0,1.0,PI - LIME,0.4093403652249145,0.27872760112743067
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,BernoulliNB,"'alpha': 0.1, 'fit_prior': True",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.6526679317736982,0.4588235294117647
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,RF,"'criterion': 'log_loss', 'max_features': 'log2', 'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 15",1.0,1.0,1.0,1.0,1.0,PI - SHAP,,
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,RF,"'criterion': 'log_loss', 'max_features': 'log2', 'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 15",1.0,1.0,1.0,1.0,1.0,PI - LIME,,
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,RF,"'criterion': 'log_loss', 'max_features': 'log2', 'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 15",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.8383422482771866,0.6823529411764706
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,ExtraTrees,"'criterion': 'log_loss', 'max_features': 'log2', 'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 15",1.0,1.0,1.0,1.0,1.0,PI - SHAP,0.07688091784996257,0.30806161848616215
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,ExtraTrees,"'criterion': 'log_loss', 'max_features': 'log2', 'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 15",1.0,1.0,1.0,1.0,1.0,PI - LIME,0.11123858568168885,0.2520504151250418
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,ExtraTrees,"'criterion': 'log_loss', 'max_features': 'log2', 'class_weight': 'balanced', 'n_estimators': 100, 'max_depth': 15",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.9298420216962094,0.6529411764705881
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,AdaBoost,"'learning_rate': 0.1, 'n_estimators': 25",1.0,1.0,1.0,1.0,1.0,PI - SHAP,0.9907666129638684,0.5756471673400021
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,AdaBoost,"'learning_rate': 0.1, 'n_estimators': 25",1.0,1.0,1.0,1.0,1.0,PI - LIME,0.9995407514431709,0.5752237416355278
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,AdaBoost,"'learning_rate': 0.1, 'n_estimators': 25",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.9872222196285615,-0.13833704996073615
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,GradientBoosting,"'criterion': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'max_depth': 15, 'max_features': 'log2'",1.0,1.0,1.0,1.0,1.0,PI - SHAP,0.9948773098048022,0.5752237416355278
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,GradientBoosting,"'criterion': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'max_depth': 15, 'max_features': 'log2'",1.0,1.0,1.0,1.0,1.0,PI - LIME,0.9050991428980487,0.46017899330842227
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,GradientBoosting,"'criterion': 'squared_error', 'n_estimators': 200, 'learning_rate': 1.0, 'max_depth': 15, 'max_features': 'log2'",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.9272015376490416,0.6852941176470588
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,Bagging,"'max_samples': 1.0, 'n_estimators': 10",1.0,1.0,1.0,1.0,1.0,PI - SHAP,0.9865789367271529,0.5756471673400021
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,Bagging,"'max_samples': 1.0, 'n_estimators': 10",1.0,1.0,1.0,1.0,1.0,PI - LIME,0.7568377480398882,0.4985272427507908
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,Bagging,"'max_samples': 1.0, 'n_estimators': 10",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,0.8429928060888325,0.28256078289852493
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,MLP,"'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)",1.0,1.0,1.0,1.0,1.0,PI - SHAP,0.9628756708872067,0.42008402520840293
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,MLP,"'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)",1.0,1.0,1.0,1.0,1.0,PI - LIME,-0.16361502678206788,-0.1960392117639214
5,NSR,0.2,0.0025332488917036,1.4650643511398134,3.995697418400858,36.44536595497596,394.75,16,12,3,0.0416666666666666,6316,0.0,7,2.419699813007049,MLP,"'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)",1.0,1.0,1.0,1.0,1.0,SHAP - LIME,-0.005224024257401565,0.26176470588235295
